,Question,Answer
51,ما هو الاسم الذي يطلق على الزيادة في الدين نظير الأجل أو الزيادة فيه؟, ربا النسيئة
52,ما هي السورة التي لا تبدأ بالبسملة؟, التوبة
53,من أول من ألف في أحكام القرآن؟, الامام الشافعي
54,في أي سورة ذكرت قصة قابيل وهابيل؟, سورة المائدة
55,ما اسم الزوجة الثالثة بالترتيب التي تزوجها النبي صلى الله عليه وسلم؟, عائشة بنت أبي بكر الصديق
56,من من الخلفاء الراشدين كان الأكبر سنا عندما لقي ربه؟, عثمان بن عفان
57,من أول من لقب بأمير المؤمنين؟, عمر بن الخطاب
58,يجب اخراج الزكاة من الذهب اذا كان يبلغ النصاب الشرعي وهو؟, 85 غراما
59,ماذا لقب ابراهيم عليه السلام؟, الخليل
60,أين وردت الآية الكريمة ( أقم الصلاة لدلوك الشمس إلى غسق الليل وقرآن الفجر إن قرآن الفجر كان مشهودا)؟, سورة الاسراء
61,من هو الصحابي الذي كان جبريل يأتي على هيئته؟, دحية الكلبي
62,من هو الصحابي الملقب بأبي تراب؟, علي بن أبي طالب
63,أول زوجات النبي صلى الله عليه وسلم لحوقا به بعد وفاته؟, زينب بنت جحش
64,كم كان عمر الرسول صلى الله عليه وسلم عندما بعث نبيا ورسولا للإسلام؟, أربعون عاما
65,ما هي السورة التي وردت فيها غزوة أحد وغزوة بدر؟, سورة آل عمران
66,ما هو العام الهجري الذي احتفل فيه المسلمين بعيد الفطر وعيد الأضحى المبارك؟, العام الثاني
67,ما هو أول الأيام التي خلقها الله تعالى؟, يوم الأحد
68,ما هي السورة الوحيدة في القرآن الكريم التي لا تحتوي على حرف الميم؟, سورة الكوثر
69,من هي آسيا؟, زوجة فرعون
70,ما هي أول صلاة صلاها الرسول صلى الله عليه وسلم؟, صلاة الظهر
71,كم مرة ذكر اسم الرسول محمد صلى الله عليه وسلم في القرآن؟, 4 مرات
72,من هو النبي الذي آمن به جميع قومه؟, يونس عليه السلام
73,من هو أول صحابي حيّا الرسول صلى الله عليه وسلم بتحية الإسلام؟, أبو ذر الغفاري
74,قال تعالى: (وزرابي مبثوثة) سورة الغاشية (16)، المقصود بـ(زرابي)؟, الطنافس 
75,أقسم الله عزوجل بالتين والزيتون كناية عن الأرض التي تزرع فيها ومهبط الرسالات السماوية وهي أرض؟, فلسطين
76,بدأت سورة الشعراء بعد البسملة بثلاثة حروف هي؟, طسم
77,اذا ضرب المسلم أخاه المسلم ونتج عن ذلك فقدانه للنطق فمقدار الدية التي يجب عليه دفعها في الشريعة الإسلامية هي؟, دية النفس كاملة
78,من قائد المسلمين في معركة القادسية؟, سعد بن أبي وقاص
79,الغزوة التي تسمى غزوة أوطاس أيضا هي غزوة؟, حنين
80,ما أكثر سورة تكرر فيها اسم الرحمن؟, سورة مريم
81,قرية أخبر الرسول صلى الله عليه وسلم أنها (آخر قرية من قرى الإسلام خرابا) فما هي؟, المدينة المنورة
82,من هي ثاني إمرأة دخلت الإسلام؟, أم الفضل زوجة العباس 
83,صحابي قال له النبي صلى الله عليه وسلم (أن الله مقمصمك قميصا فإن أرادك المنافقون على خلعه فلا تخلعه) فمن هو؟, عثمان بن عفان
84,كم ورد لفظ (لؤلؤ واللؤلؤ) في القرآن الكريم؟, ست مرات
85,اذا ضرب المسلم أخيه المسلم ونتج عن ذلك فقدان للبصر لأحدى عينيه فيجب عليه أن يسلم له؟, نصف الدية
86,الدعاء (بسم الله والصلاة والسلام على رسول الله وعلى آله، اللهم اغفر ذنوبي وافتح لي أبواب رحمتك) يستحب للمسلم أن يدعو به عند؟, دخول المسجد
87,كم مرة وردت كلمة (تلاوة) في القرآن الكريم؟, مرة واحدة
88,صحابي قال له الرسول صلى الله عليه وسلم: ( تمشي وحدك وتموت وحدك وتبعث وحدك) فمن هو؟, أبو ذر الغفاري
89,قال تعالى: (ننزل الملائكة والروح فيها بإذن ربهم) سورة القدر(4) المقصود بـ(الروح) هو؟, جبريل
90,من الذي عقد مع رسول الله صلى الله عليه وسلم صلح الحديبية عن قريش؟, سهيل بن عمرو
91,كم كان عمر النبي صلى الله عليه وسلم حين وفاة زوجته خديجة بنت خويلد رضى الله عنها؟, 51 عاما
92,ما آخر سورة نزلت في مكة؟, المرسلات
93,كم ورد لفظ (الصمد) في القرآن الكريم؟, مرة واحدة
94,في عهد من من خلفاء المسلمين وقعت معركة اليرموك؟, عمر بن الخطاب
95,متى توفيت أم المؤمنين زينب بنت جحش رضى الله عنها؟, سنة 20 هجرية
96,ما هو الشئ الذي كان النبي صلى الله عليه وسلم لا يرده؟, الطيب
97,كم وردت كلمة (أف) في القرآن الكريم ؟, ثلاث مرات
98,القائد المسلم الذي فتح مدينة تدمر الأثرية هو؟, خالد بن الوليد
99,في أي عام فرضت زكاة الفطر؟, عام 2 هجرية
100,قال تعالى: (ولا طعام إلا من غسلين) سورة الحاقة (36)، ما المقصود بـ(غسلين)؟, القيح والصديد
101,من هو أول شهيد في غزوة أحد؟, عبدالله بن حرام
102,كم ورد لفظ (الكعبة) في القرآن الكريم؟, مرتان
103,من الذي دخل النبي صلى الله عليه وسلم في جواره حين عاد من الطائف؟, المطعم بن عدي
104,كم ورد لفظ (الكهف) في القرآن الكريم؟, ست مرات
105,كم عدد خلفاء الدولة العباسية؟, 37 خليفة
106,من الصحابي الذي وطأ الجنة بعرجته؟, عمرو بن الجموح
107,ما هو الإسم الأخر التي تسمى به سورة الزمر؟, سورة الغرف
108,من أول من ركب الخيل؟, اسماعيل عليه السلام
109,ما هي أصغر سورة في القرآن الكريم؟, الكوثر
110,من أول من سعى بين الصفا والمروة؟, هاجر
111,كم عدد مفاتيح الغيب التي لا يعلم بها الا الله سبحانه وتعالى؟, خمسة مفاتيح
112,من أول من توفت من بنات الرسول صلى الله عليه وسلم؟, السيدة رقية
113,من هي زوجة الخليفتين وصاحبة الهجرتين ومصلية القبلتين وزوجة الشهيدين؟, أسماء بنت عميس
114,مرشد الرسول صلى الله عليه وسلم وأبو بكر رضى الله عنه أثناء الهجرة هو؟, عبدالله بن إريقط
115,من هو سيف الله المسلول؟, خالد بن الوليد
116,من هو الصحابي الذي ورد اسمه صريحا في القرآن الكريم؟, زيد بن الحارثة
117,سورة تحدثت عن غزوة حنين؟, سورة التوبة
118,ما هو اسم السورة التي تحدثت عن العقاب الذي ينتظر أبو لهب؟, سورة المسد
119,على من أنزل الزبور؟, داوود عليه السلام
120,كم عدد الكتب السماوية التي أنزلها الله تعالى؟, 5 كتب
121,ما هو الركن الثاني من أركان الإسلام؟, إقام الصلاة
122,ما اسم النبي الذي تمنى أن يموت؟, يوسف عليه السلام
123,ما هو الحيوان الذي ارتبط اسمه بسيدنا صالح عليه السلام؟, الناقة
124,ما اسم السورة التي تحدثت عن غزوة أحد؟, سورة آل عمران
125,من هو أول رسول من الله يسمى بالأحمد؟, محمد صلى الله عليه وسلم
126,ما هو العام الهجري الذي احتفل فيه المسلمين بعيد الفطر وعيد الأضحى المبارك؟, العام الثاني
127,كم مرة ذُكر اسم الرسول محمد صلى الله عليه وسلم في القرآن؟, 4 مرات
128,من هو الملقب بـ أسد الله الغالب؟, علي بن أبي طالب
129,من هو أول مولود في الإسلام؟, عبد الله بن عمر بن الخطاب
130,من هو قائد المسلمين في معكرة القادسية؟, سعد بن أبي وقاص
131,كيف أهلك الله قوم لوط؟, بحجارة مسومة
132,ما أكثر سورة تكرر فيها اسم الرحمن؟, سورة مريم
133,ما هي عدد المرات التي ورد فيها ذكر النار في المصحف الشريف؟, 126 مرة
134,من هو أول صحابي حيّا الرسول صلى الله عليه وسلم بتحية الإسلام؟, أبو ذر الغفاري
135,ماهي السورة التي تسمي القتال؟, سورة محمد
136,من هي آسيا؟, زوجة فرعون
137,ما هي السورة القرآنية التي يبكي فيها الشيطان عند سماعها؟, سورة السجدة
138,من أول من أسلم من الرجال؟, أبو بكر الصديق
139,متى فتحت مكة المكرمة؟, 8 هـ
140,ما هو الركن الثاني من أركان الاسلام؟, إقام الصلاة
141,أفضل طعام أشار له القرآن الكريم؟, العسل
142,من هم أكثر الأقوام عنادا مع أنبيائهم؟, اليهود
143,في أي سورة ذكر شهر رمضان في القرآن؟, سورة البقرة
144,من هو الذي كانت تستحي منه ملائكة السماء؟, عثمان بن عفان
145,ما هو الحج الأصغر؟, العمرة
146,ما اسم الصحابي الجليل الذي نزل الرسول صلى الله عليه وسلم ضيفا في بيته؟, أبو أيوب الانصاري
147,ما هي أول صلاة فرضت على الرسول محمد صلى الله عليه وسلم؟, صلاة الظهر
148,قال تعالى: (ماودعك ربك وما قلى) سورة الضحى، ما المقصود بـ (ما قلى)؟, ما ابغضك
149,من هو النبي الذي كان ابنه كافرا؟, نوح عليه السلام
150,كم عدد الصلوات المفروضة في اليوم والليلة؟, 5 صلوات
151,إلى أين كانت هجرة الرسول صلى الله عليه وسلم؟, مكة
152,كم عدد سور القران الكريم؟, 114
153,من هو النبي الذي ولد دون أب؟, عيسى عليه السلام
154,ما هي السورة سميت بقلب القرآن؟, سورة يس
155,هل يجوز شرب الماء في الصوم؟, لا ، لا يجوز أكل أو شرب أي شيء أثناء الصيام
156,ما هو اتجاه المسلمين في أداء الصلاة؟, الكعبة (مكة المكرمة)
157,متى يصوم المسلمون شهرا؟, في شهر رمضان
158,كم عدد أجزاء القرآن؟, 30
159,ما هي أطول سورة في القرآن الكريم؟, سورة البقرة
160,كم عدد الأنبياء الذين ورد ذكرهم في القرآن الكريم؟, 25
161,ما هي أطول سورة في القرآن الكريم؟, سورة البقرة
162,من أول من قال الشعر؟, آدم عليه السلام
163,ما الاسم الذي اطلق على الذين آمنوا بعيسى عليه السلام؟, الحواريون
164,في أي سنة هجرية توفي الرسول صلى الله عليه وسلم؟, 11 هـ
165,من هو أكثر الصحابة رواية للحديث؟, أبو هريرة
166,كم دامت خلافة أبو بكر الصديق رضي الله عنه؟, سنتين
167,ما هي الهيجاء؟, الحرب
168,من هو النبي الذي صام عن الكلام ثلاثة أيام؟, زكريا عليه السلام
169,أول جبل وضع في الأرض هو؟, جبل أبي قيس في مكة
170,من هو البخاري؟, محمد بن اسماعيل البخاري
171,ما أقصر سورة في القرآن الكريم؟, الكوثر
172,قال الرسول صلى الله عليه وسلام: (لا يدخل الجنة قتات)، فمن هو القتات؟, النمام
173,على لسان من ورد قوله تعالى: (ليتني مت قبل هذا وكنت نسيا منسيا)؟, مريم
174,ما هي عدة الأرملة غير الحامل؟, أربعة أشهر وعشرة أيام
175,ما هي السورة التي استمع لها الجن وقالوا سمعنا قرآنا عجبا؟, الجن
176,ما هي أهمية الزكاة في الإسلام؟, الزكاة مهمة جدًا لدرجة أنها تشكل الركن الثالث للإسلام
177,متى فتحت مكة المكرمة؟, 8 هـ
178,قال تعالى في سورة البروج: (والسماء ذات البروج(1) واليوم الموعود) ما هو اليوم الموعود؟, يوم القيامة
179,من الصحابة العشر المبشرين بالجنة؟, عثمان بن عفان
180,ما السورة التي ذكرت فيها قصة هابيل وقابيل؟, سورة المائدة
181,من هو أول نبي تكلم اللغة العربية؟, اسماعيل عليه السلام
182,ما هو لقب حمزة بن عبدالمطلب؟, أسد الله
183,من هي آخر زوجة تزوجها الرسول صلى الله عليه وسلم؟, ميمونة بنت الحارث
184,كم مرة حج الرسول صلى الله عليه وسلم؟, مرة واحدة
185,"في أي سورة ورد اسم يوم القيامة ""الطامة""؟", النازعات
186,ما هو الشيء الذي ورد في القرآن أنه يتنفس ولا روح له؟, الصبح
187,ماذا كان اسم ناقة الرسول صلى الله عليه وسلم؟, القصواء
188,ما هي الغزوة التي تمّ فيها أسر الشيماء شقيقة الرسول -صلى الله عليه وسلم- في الرضاعة؟, غزوة حُنين
189,من هو المولود الأول في الإسلام؟, عبد الله بن عمر بن الخطاب
190,ما المهنة التي عمل بها الرسول صلى الله عليه وسلم؟, مهنة التجارة والرعي
191,من هو أول نبي نزل إلى الأرض؟, سيدنا آدم
192,ما هو دعاء سيدنا يونس عليه السلام وهو في بطن الحوت؟," ""لا إله إلا أنت سبحانك إني كنت من الظالمين"""
193,ما هي السورة التي تعرف بقلب القرآن؟, سورة يس
194,من النبي الذي كان يسمى بشرى؟, ذا الكفل عليه السلام
195,في أي سنة هجرية شرع الله -سبحانه وتعالى- صيام شهر رمضان على المسلمين؟, السنة الثانية للهجرة
196,من هو الصحابي الذي اهتز عرش الرحمن لموته؟, سعد بن معاذ
197,ما اسم زوجة فرعون؟, آسيا
198,لمن أرسل النبي هود؟, عاد
199,ما هو أكبر رقم في القرآن الكريم؟, مائة ألف
200,في أي يوم خُلق سيدنا آدم عليه السلام؟, يوم الجمعة
201,كم مرة ذُكر اسم الرسول محمد صلى الله عليه وسلم في القرآن؟, 4 مرات
202,من هي آسيا؟, زوجة فرعون
203,كم عدد السجدات في القرآن الكريم؟, 15 سجدة
204,من هو النبي الذي آمن به جميع قومه؟, يونس عليه السلام
205,ما هي المدة التي نام فيها أهل الكهف؟, 309 سنة
206,ماذا يقصد بالشرك الأصغر؟, الرياء
207,من هو النبي الذي لقب بالصديق؟, يوسف عليه السلام
208,كم عدد الأشهر الحرم؟, أربعة أشهر
209,متى فتحت مكة المكرمة؟, 8 هـ
210,من هو النبي الذي كانت تسبح معه الملائكة؟, أيوب عليه السلام
211,ماهي الآيات العشر التي تعصم من قرأها من المسيح الدجال؟, أوائل سورة الكهف
212,ما اسم ناقة الرسول صلى الله عليه وسلم؟, القصواء
213,ماهي السورة التي تبدأ بالحرف المتقطع (ن)؟, سورة القلم
214,من أسماء ملائكة العذاب التي ذكرت في سورة العلق؟, الزبانية
215,ما اسم الزوجة الثالثة بالترتيب التي تزوجها النبي صلى الله عليه وسلم؟, عائشة بنت أبي بكر الصديق
216,كم عدد السور التي ابتدأت بالحروف المقطعة (الر)؟, خمس سور
217,ماهي السورة التي لا يوجد بها بسملة؟, التوبة
218,ما هي أرض مهد الأديان السماوية التي أقسم الله عليها؟, فلسطين
219,كم بوابة للجنة؟, ثمانية أبواب
220,قوم أي من الأنبياء كانوا يعبدون الأيكة؟, شعيب عليه السلام
221,الملك الموكل بالنفخ في البوق هو؟, اسرافيل
222,في أي سنة كانت غزوة الخندق؟, السنة الخامسة للهجرة
223,كم عدد الأنبياء الذين ذكروا في القرآن الكريم؟, 25 نبيا
224,كم شخص اشترك في قتل ناقة النبي صالح عليه السلام؟, تسعة
225,من هو مؤلف كتاب الطب النبوي؟, ابن قيم الجوزية
226,في أي غزوة استشهد الصحابي عبدالله بن رواحة؟, غزوة مؤتة
227,كم عدد التكبيرات في الركعة الأولى في صلاة العيد؟, سبع تكبيرات
228,من الصحابي الذي اشترى بئر رومة في المدينة من اليهودي ووهبه للمسلمين؟, عثمان بن عفان
229,أي عم للرسول صلى الله عليه وسلم مات شهيدا؟, حمزة بن عبدالمطلب
230,ماهي السورة التي ذكر فيه اسم مسجدين؟, الإسراء
231,السورة التي بدأت بلفظ (سورة)؟, سورة النور
232,قال تعالى في سورة الواقعة الآية (28): (في سدر مخضود)، مامعنى مخضود؟, لا شوك فيه
233,من هي آخر من توفى من زوجات الرسول صلى الله عليه وسلم؟, أم سلمة رضي الله عنها
234,بماذا كان يكنى الرسول صلى الله عليه وسلم؟, أبو القاسم
235,من هي النصرانية التي أسلمت ثم تزوجها النبي صلى الله عليه وسلم؟, ماريا القبطية
236,ما أول سورة نزلت في مكة؟, العلق
237,من هو النبي الذي لقب بذي النون؟, يونس عليه السلام
238,كم سورة من سور القرآن الكريم بدأت بحروف مقطعة؟, 29 سورة
239,كم عدد الملائكة الذين قاتلوا مع الرسول صلى الله عليه وسلم والمسلمين في بدر؟, خمسة آلاف ملك
240,من هو الذي خسف الله به الأرض؟, قارون
241,من أول من أكرم الضيف وأضافه؟, ابراهيم عليه السلام
242,كم سورة من سور القرآن تبدأ بالاستفهام؟, 6 سور
243,من هو أول من بايع أبا بكر الصديق رضي الله عنه من الأنصار يوم السقيفة؟, بشير بن سعد الأنصاري
244,ما هي كنية سعد بن أبي وقاص؟, أبا إسحاق
245,من هو النبي الذي آمن به جميع قومه؟, يونس عليه السلام
246,كم عدد بنات الرسول صلى الله عليه وسلم؟, أربعة
247,ما هي السورة الخالية من البسملة؟, سورة التوبة
248,كم مرة يدفع المسلمون الزكاة؟, سنويا
249,من هو آخر الأنبياء وخاتمهم؟, النبي محمد عليه الصلاة والسلام
250,متى فُرِض الصيام على المسلمين؟, في العام الثاني من الهجرة
251,ما هي أطول سورة في القرآن؟, سورة البقرة
252,كم عدد السور المدنية في القرآن الكريم؟, 28 سورة
253,ما هي معجزة سيدنا صالح عليه السلام؟, الناقة
254,ما هي مهنة سيّدنا محمد ﷺ قبل بعثته؟, الرعي والتجارة
255,كم عدد الأشهر الحُرُم؟, أربعة أشهر
256,من هو أوَّل من أسلم من الرِّجال في الإسلام؟, أبو بكر الصدِّيق رضِي الله عنه
257,بماذا لقب سيدنا لُقمان؟, الحكيم
258,من أول من سعى بين الصفا والمروة؟, هاجر
259,من أول من نادى بالحج إلى بيت الله الحرام؟, إبراهيم عليه السلام
260,كم كان عمر الرسول عندما نزل عليه الوحي؟, أربعين سنة
261,ما هي آخر غزوة شارك فيها الرسول صلى الله عليه وسلم؟, غزوة تبوك
262,ما هي السورة التي ذكر ضمن اياتها بسم الله الرحمن الرحيم؟, سورة النمل
263,من هي الصحابية الجليلة الملقبة بذات النطاقين؟, أسماء بنت أبي بكر
264,ما هي السورة الوحيدة في القرآن الكريم التي لا تحتوي على حرف الميم؟, سورة الكوثر
265,من هو الملقب بـ أسد الله الغالب؟, علي بن أبي طالب
266,ما هي زوجة أحد الرسل التي تسمى “والهة”؟, امرأة لوط
267,أين يوجد البيت المعمور؟, في السماء
268,ما الصلاة التي يركع المصلي ويسجد فيها أربع مرات؟, صلاة الخسوف والكسوف
269,من هو الصحابي الجليل الذي اهتز عرش رب العالمين عند وفاته؟, سعد بن معاذ
270,ما أول عملة شاع استخدامها في الدولة الإسلامية؟, الدينار
271,ماهي السورة التي كانت السبب في إسلام سيدنا عمر بن الخطاب – رضي الله عنه – ؟, سورة طه
272,ما هو الدعاء الذي وصى به الرسول صلى الله عليه وسلم في ليلة القدر؟," ""اللهم إنك عفو تحب العفو فاعفو عنا"""
273,من هو الصحابي الذي كانت تستحي منه الملائكة؟, عثمان بن عفان رضي الله عنه
274,كم عدد السور القرآنية التي بدأت بثلاث حروف؟, 13 سورة
275,ما هي السورة التي يُطلق عليها ” جميع بنات حواء”؟, سورة النساء
276,من هو آخر صحابي توفي من الصحابة؟, أنس بن مالك
277,ما اسم زوجة فرعون؟, آسيا
278,من هو أول صحابي حيا الرسول صلى الله عليه وسلم بتحية الإسلام؟, أبو ذر الغفاري
279,من هو أول من ركب الخيل؟, إسماعيل عليه السلام
280,كم سورة من سور القرآن الكريم تبدأ بالإستفهام؟, ست سور
281,بماذا تسمى سورة الكهف؟, الحائلة
282,ما حكم قراءة القرآن بأحكام التجويد؟, واجبة
283,ما السورة التي عرفت باسم سورة العبادة؟, سورة الكافرون
284,كم مرة ذكرت الشمس في القرآن الكريم؟, 32 مرة
285,ماهو أول رقم ذكر في القران الكريم؟, سبع
286,متى شرع الآذان؟, 1 هـ
287,ما أول سورة قرأها عمر بن الخطاب رضي الله عنه؟, سورة طه
288,ما الحيوان البحري الذي ذكر في سورة الصافات؟, الحوت
289,كم نبي ذكر في سورة الأنبياء؟, 16
290,( المصدود ) لفظ يطلق على؟, من منع من الحج
291,في أي عام حدثت غزوة الخندق الشهيرة؟, 5 هـ
292,من أول من لحق بالنبي محمد – صلى الله عليه وسلم – عقب وفاته من ذويه؟, فاطمة
293,ما الصلاة التي يركع المصلي ويسجد فيها أربع مرات؟, صلاة الخسوف والكسوف
294,نبي من انبياء الله – عز وجل – ، كان يطلق عليه ( بشرى ) فمن هو؟, ذا الكفل عليه السلام
295,ماذا كانت عائشة رضي الله عنها بالنسبة إلى الرسول محمد صلى الله عليه وسلم؟, زوجته
296,من هو أول من قام بتصنيف تفسير خاص بالقرآن العظيم بواسطة الإسناد؟, مالك بن أنس
297,أي أداة من الأدوات الآتية قام قابيل بقتل أخيه هابيل بواسطتها؟, فك الحمار
298,كم مرة تم ذكر لفظ ( الجنة ) في آيات القرآن الكريم؟, 66 مرة
299,من الفاتح الإسلامي الذي لقب بـ: ( فاتح الصين )؟, قتيبة بن مسلم
300,أين عاش زكريا عليه السلام؟, في فلسطين
301,من صاحب هذا الدعاء: (رب اشرح لي صدري (25) ويسر لي أمري)، (طه، 25و26)؟, موسى عليه السلام
302,هل تجب صلاة الجمعة على المسافر؟, لا
303,ما نصيب الزوجة إن مات زوجها ولم يكن لها ولد؟, الربع
304,كم أخا كان ليوسف عليه السلام؟, 11 أخا
305,ما أول سورة في المصحف ذكر فيها نبي الله صالح؟, سورة الأعراف
306,من أول نبي ذكرت قصته في القرآن الكريم؟, آدم عليه السلام
307,من هو قائد أول غزوة بعد موت الرسول صلى الله عليه وسلم؟, أسامة بن زيد
308,في أي سورة وردت قصة قارون؟, سورة القصص
309,لمن أرسل النبي هود؟, عاد
310,"كم مرة تكررت الآية: ""فبأي آلاء ربكما تكذبان""؟", 31 مرة
311,من الصحابي الذي دافع عن النبي صلى الله عليه وسلم في معركة أحد حتى شلت يمينه؟, طلحة بن عبيد الله
312,ما هي السورة التي كانت سببا في إسلام عمر بن الخطاب رضي الله عنه؟, سورة طه
313,ماذا تعني النفاثات في العقد؟, النساء الساحرات
314,من هو ترجمان القرآن وحبر الأمة؟, عبدالله بن عباس
315,"ما هي السورة التي تنتهي بقوله تعالى: ""واعبد ربك حتى يأتيك اليقين""؟", سورة الحجر
316,ما هي السورة التي تقع بين سورتي يوسف وابراهيم؟, سورة الرعد
317,أين يوجد جامع الزيتون؟, في تونس
318,من هو جندب من جنادة؟, أبو ذر الغفاري
319,في أي من السور التالية تقع أقصر آية؟, سورة الرحمن
320,من هو الصحابي الملقب بسيد الفوارس؟, أبو موسى الأشعري
321,ما اسم أول غزوة للمسلمين ضد اليهود؟, غزوة بني القينقاع
322,ما الإسم الذي يطلق على الذين آمنوا بعيسى عليه السلام؟, الحواريون
323,ما هو مقدار زكاة الثمار والزرع في حالة الري دون كلفة؟, العشر
324,ما هي السورة التي تبدأ ب (المر)؟, سورة الرعد
325,ما هي عدة المرأة الغير حامل؟, 4 أشهر و 10 أيام
326,من أي أبواب الجنة يدخل الصائمون يوم القيامة؟, الريان
327,ما هي السورة التي عدد آياتها 206؟, الأعراف
328,كم عدد السور التي تبدأ ب(حم)؟, 7 سور
329,من هن الأيامى؟, لا أزواج لهن
330,أين يوجد جامع الزيتون؟, تونس
331,في أي من السور التالية تقع أقصر آية؟, الرحمن
332,ما اسم أول غزوة للمسلمين ضد اليهود؟, غزوة بني القينقاع
333,من هو أول من حصل على لقب سيد الشهداء؟, حمزة بن عبدالمطلب
334,ما هو مقدار زكاة الثمار والزرع في حالة الري دون كلفة؟, العشر
335,من هي آخر زوجة تزوجها الرسول صلى الله عليه وسلم؟, ميمونة بنت الحارث
336,ما هي السورة التي عدد آياتها 206؟, الأعراف
337,من هو الصحابي الذي أجهز على أبي جهل يوم بدر؟, عبدالله بن مسعود
338,من هن الأيامى؟, لا أزواج لهن
339,ما هي السورة التي ورد لفظ الجلالة (الله) في كل آية من آياتها؟, سورة المجادلة
340,ما هي السورة التي تسمى براءة؟, التوبة
341,ما هي الصلاة التي يركع فيها المصلي أربع ركعات ويسجد أربع مرات؟, الخسوف والكسوف
342,ما الاسم الذي يطلق على الذين آمنوا بعيسى عليه السلام؟, الحواريون
343,ماذا كان اسم ناقة الرسول صلى الله عليه وسلم؟, القصواء
344,كم مرة حج الرسول صلى الله عليه وسلم؟, مرة واحدة
