Question,Answer
101ـ من قاتل أمية بن خلف ؟ ,     بلال بن رباح رضي الله عنه .
102ـ من التي أشارت على الرسول صلى الله عليه وسلم بأن يحلف يوم الحديبية ؟ ,     أم المؤمنين أم سلمه رضي الله عنها.
103ـ من هو الصحابي الذي لقب ببحر الجود لكرمه ؟ ,     عبدالله بن جعفر رضي الله عنه . .
104ـ ما اسم سيف رسول الله صلى الله عليه وسلم ؟ ,     ذو الفقار .
105ـ من الذي أوجد التجنيد الاجباري ؟ ,     حجاج بن يوسف الثقفي .
106ـ كيف مات عمر بن عبد العزيز ؟ ,     مسموماً .
107ـ أين ولد سيدنا إبراهيم عليه السلام ؟ ,     في أول .
108ـ من الذي قال عنه الرسول صلى الله عليه وسلم هذا فرعون قومه ؟ ,"     أبا جهل "" عمرو بن هشام ""."
109ـ ما اسم الجبل المقام عليه المسجد الأقصى ؟ ,     جبل موريا .
110ـ ما الاسم الثاني لبئر زمزم ؟ ,     بئر اسماعيل .
111ـ من هو النبي الذي آمن به جميع قومه ؟ ,     يونس عليه السلام .
112ـ من هم الذين جلدوا في حادثة الأفك ؟ ,     سطح بن اثاثة ، حمنة بنت جحش ، حسان بن ثابت .
113ـ ما هي صلاة البردين ؟ ,     الفجر والعصر .
114ـ ما المقصود بحمر النعم ؟ ,     الإبل المحمودة .
115ـ ما اسم زوجة فرعون ؟ ,     آسيا .
116ـ أين دفن أبو الرسول صلى الله عليه وسلم ؟ ,     في دار النابغة .
117ـ من الذي كناه الرسول صلى الله عليه وسلم بأبي المساكين ؟ ,     جعفر بن أبي طالب ولقبه ( ذي الجناحين ) .
118ـ من الذي أصر على الجهاد في غزوة أحد ؟ ,     عمرو بن الجموح .
119ـ ما كنية عبد الله بن قيس ؟ ,     أبي موسى الأشعري .
120 ـ من الذي قتل علي رضي الله عنه ؟ ,     عبد الرحمن بن ملجم .
121ـ من هو الصحابي الذي حج سراً ؟ ,     خالد بن الوليد رضي الله عنه .
122ـ مَنُ مِنْ الخلفاء الراشدين كان الأكبر سناً عندما لقي ربه ؟ ,     عثمان بن عفان رضي الله عنه وكان عمره 82 سنة .
123ـ كم كان عمر علي بن أبي طالب رضي الله عنه حين استشهد ؟ ,     63 سنة .
124ـ ماهي السورة التي فاضت عينا النجاشي بالدمع عند سماعها ؟ ,     سورة مريم .
125ـ ما المقصود بالعسكران ؟ ,     عرفة ومنى .
126ـ كم عدد أولي العزم ؟ ,     خمسة : نوح ، ابراهيم ، موسى ، عيسى ، محمد صلى الله عليه وسلم .
127ـ من الذي قتله الرسول صلى الله عليه وسلم بأحد ؟ ,     أبي بن خلف .
128ـ في أي عام ولد النبي صلى الله عليه وسلم ؟ ,     عام 571 م .
129ـ في أي عام توفي النبي صلى الله عليه وسلم ؟ ,     عام 632م ـ 10 هـ .
130ـ من التي يطلق عليها جدة العرب ؟ ,     هاجر .
131ـ من أكثر الأنبياء ذكراً بالقرآن ؟ ,     موسى عليه السلام وذكر 236مرة .
132ـ ما هو اسم أبو ذر الغفاري ؟ ,     جندب بن جناده رضي الله عنه.
"133ـ من المقصود بقول الله تعالى : "" سنسمه على الخرطوم "" ؟ ",     الاخنس بن شريق .
134ـ متى لقب الصديق بالصديق ؟ ,     في حادثة الإسراء والمعراج .
135ـ من إمام القراء ؟ ,     معاذ بن جبل رضي الله عنه.
136ـ من هو حبر الأمة ؟ ,     عبد الله بن عباس بن عبد المطلب بن هاشم عم الرسول صلى الله عليه وسلم .
137ـ من الذي توسل به عمر من أجل الغيث وهطول المطر ؟ ,     عم الرسول صلى الله عليه وسلم العباس بن عبد المطلب ( ساقي الحرمين ) .
138ـ من الذي كان شعاره ( الله والجنة ) ؟ ,     البراء بن مالك رضي الله عنه.
139ـ من الذي عرف عند المسلمين الأوائل بأنه الرجل الذي معه من الله نور ؟ ,     عباد بن بشر رضي الله عنه.
140ـ ما هو القول الذي ردده جميع الرسل ؟ ,"     "" يا قوم اعبدوا الله مالكم من آله غيره """
141ـ من هم الأنبياء من العرب ؟ ,     هود ـ صالح ـ شعيب ـ محمد صلى الله عليه وسلم .
142ـ ما السور التي بدأت بالحمد ؟ ,     الفاتحة ـ الأنعام ـ الكهف ـ سبأ ـ فاطر .
143ـ ما عاصمة الخلافة الإسلامية ؟ ,     دمشق .
144ـ من هي الملقبة بحارسة القرآن ؟ ,     حفصة بنت عمر .
145ـ من الملقبة بالمرأة الشهيدة ؟ ,     أم ورقة .
146ـ ما اسم اخو يوسف عليه السلام من أمه وأبيه ؟ ,     بنيامين .
147ـ لماذا أحضر المشركون نسائهم في غزوة احد ؟ ,     حتى لا يفروا أمامهن .
148ـ كم كان عمر الرسول صلى الله عليه وسلم حين توفيت أمه ؟ ,     أربع سنين .
149ـ كم كان عمر الرسول صلى الله عليه وسلم حين توفى أبوه ؟ ,     لم يكن مولوداً .
150ـ كم كان عمر الرسول صلى الله عليه وسلم حين توفي جده ؟ ,     ثمان سنين .
151ـ على من يطلق المصدود ؟ ,     الذي يمنع من الحج .
152ـ من النبي الذي كان يسمى بشرى ؟ ,     ذا الكفل .
153ـ من ادخل الخوارزمي في الإسلام ؟ ,     قتيبة بن مسلم رضي الله عنه
154ـ ما اسم القوم الذين لقوا سيدنا إسماعيل ووالدته عند بئر زمزم ؟ ,     جرهما .. تولوا أمر البيت وملآوا فجاج مكة .
155ـ من الذي عدلت شهادته شهادة الرجلين ؟ ,     خزيمة بن ثابت رضي الله عنه .
156ـ ماذا تسمى الميته التي تقع من مكان مرتفع ؟ ,     المترديه .
157ـ ماهما الآيتان اللتان أعطيا النبي صلى الله عليه وسلم وهما من كنوز ,     العرش ؟ 
158ـ من آخر من توفى من الصحابة ؟ ,     أنس بن مالك .
159ـ من الملقب بذي النورين ؟ ,     عثمان بن عفان .
160ـ ما الفرق بين سندس واستبرق ؟ ,     السندس : رقيق الديباج أو الحرير .. الإستبرق : الغليظ من الديباج أو الحرير 
161ـ ما المقصود بذي الرحم الكاشح ؟ ,     الذي يضمر العداوة من ذوي القرابة 
171ـ متى شرع رمضان ؟ ,     2هـ
172ـ ما اسم خازن النار ؟ ,     مالك .
173ـ ما السورتان المسماتان بالزهراوين ؟ ,     البقرة وآل عمران .
174ـ من هم المؤذنون الذين كانوا يؤذنون في عهد الرسول صلى الله عليه وسلم ؟ ,     بلال بن رباح ـ عبد الله بن أم مكتوم ـ أبو محذورة رضي الله عنهم .
175ـ متى كانت غزوة بني النضير ؟ ,     4هـ ونزلت فيها سورة الحشر
176ـ ما المكان الذي اتخذه الرسول صلى الله عليه سلم مركزاً سرياً للدعوة في ,     مكة المكرمة ؟ 
177ـ متى كانت غزوة ذات الرقاع ؟ ,     4هـ
178ـ متى كانت غزوة بدر الآخرة ؟ ,     4هـ
179ـ من الملقب بذي النور ؟ ,     الطفيل بن عمرو .
180ـ متى كانت غزوة الخندق أو الأحزاب ؟ ,     5هـ
181ـ متى كانت غزوة بني قريظة ؟ ,     5هـ
182ـ متى كانت غزوة ذي قرد ؟ ,     6هـ
183ـ متى كانت غزوة المصطلق من خزاعه ؟ ,     6هـ
184ـ متى كانت الحديبية ؟ ,     6هـ
185ـ متى كانت غزوة خيبر ؟ ,     7هـ
186ـ متى كانت عمرة القضاء ؟ ,     7هـ
187ـ من الذي قبل أمير المؤمنين رأسه وقال : حقاً على المؤمنين أن يقبلوا ,     رأسه ؟ 
188ـ من أول من دون الفقه ؟ ,     أبو حنيفة رضي الله عنه .
189ـ فيمن أنزلت الهمزة ؟ ,     أمية بن خلف .
190ـ من سمى الجمعة الجمعة ؟ ,     كعب بن لؤي .
191ـ من أشباه الرسول صلى الله عليه وسلم ؟ ,     الحسن بن علي ، جعفر بن أبي طالب ، أبو سفيان بن الحارث ، قثيم بن العباس بن 
192ـ ما الكتب التي أنزلها الله على أنبيائه ورسله ؟ ,     القرآن على محمد ، التوراة على موسى ، الإنجيل على عيسى ، صحف على إبراهيم ، 
193ـ ما هي السورة التي كانت سببا في إسلام عمر بن الخطاب رضي الله عنه ؟ ,     سورة طه .
194ـ ما هي السورة التي تسمى الفاضحة ؟ ,     سورة التوبة .
195ـ ماهي السورة التي تسمى القتال ؟ ,     سورة محمد . 
197ـ ماهي السورة التي يطلق عليها عروس القرآن ؟ ,     سورة الرحمن .
198ـ ماهي السورة التي يطلق عليها قلب القرآن ؟ ,     سورة ياسين .
199ـ كم تزن كسوة الكعبة ؟ ,     650 كلغرام .
200ـ من الصحابي الذي أعطاه الرسول صلى الله عليه وسلم مفتاح الكعبة عند فتح ,     مكة ؟ 
201 – ماهى حادثة إنشقاق القمر؟ ,     إن كفار مكة قالوا للرسول صلى الله عليه وسلم : إن كنت صادقا فشق لنا القمر 
202 – من الذى أشترى نفسه إبتغاء مرضات الله؟ وماذا قاال فيه الرسول الكريم؟ ,     والآية التى نزلت؟ 
203ـ من آخر من يموت ؟ ,     جبريل وميكائيل واسرافيل وملك الموت عليهم السلام.
204ـ متى فرض صيام رمضان ؟ وكم رمضان صامهم الرسول ؟ ,     رمضان فرض في السنة الثانية من هجرة النبى، أى ان النبى صام 9 (تسعة رمضانات 
205– ما حكم إذا سلم المصلي قبل تمام الصلاة ناسياً؟ ,     إن ذكر بعد مضي زمن طويل استأنف الصلاة من جديد . وإن ذكر بعد زمن قليل كخمس 
206– ما حكم إذا زاد المصلي في صلاته قياماً أو قعوداً أو ركوعاً أو سجوداً ؟,
إن ذكر بعد الفراغ من الزيادة فليس عليه إلا السجود للسهو وإن ذكر في أثناء ,     الزيادة وجب عليه الرجوع عن الزيادة .ثم يسجد للسهو بعد السلام ويسلم ثانية .
207- هل الرسول صلى الله عليه وسلم جُرد من ملابسه عند غسله ؟ ,     غسل النبي وعليه ثيابه ولم يُرَ من رسول الله صلى الله عليه وسلم شيء مما 
208 – من غُسل الرسول صلى الله عليه وسلم ؟ ,     علي بن أبي طالب والعباس بن عبد المطلب والفضل بن العباس وقُثَم بن العباس 
209- ما حكم التهنئة بدخول شهر رمضان؟ ,     التهنئة بدخول شهر رمضان هذا من قبيل العادات التي لاتخالف الشرع في شئ.
210- هل يختص الاعتكاف بالمساجد الثلاثة؟ ,     الصحيح من أقوال العلماء أن الاعتكاف يشرع في كل مسجد تقام فيه الجماعة ولا 
211- متى تخرج زكاة الفطر؟ وما مقدارها؟ وهل تجوز الزيادة عليها؟ وهل تجوز ,     بالمال؟ 
212- ما حكم تارك الصوم بغير عذر؟ ,     من ترك الصوم بغير عذر فإنه أتى كبيرة من كبائر الذنوب؛ لأنه أخل بركن من 
213– ما هى الأيام البيض ؟ ,"     الأيام البيض وهي ثلاثة أيام من كل شهر يسن صيامها وهي يوم 13, 14, 15من كل "
214– ما هو نسب الرسول صلى الله عليه وسلم ؟ ,     هو أبو القاسم محمد بن عبد الله بن عبد المطلب بن هاشم بن عبد مناف بن قصي بن 
215– ما هى أسماء الرسول صلى الله عليه وسلم ؟ ,     للرسول أسماء فيقول أنا محمد، وأنا أحمد، وأنا الماحي وأنا الحاشر وأنا 
216– ما هو القرآن ؟ ,     هو كلامُ اللهِ تعالى وَوَحْيُهُ المُنَزَّلُ على خَاتَمِ أَنْبِيَائـِهِ 
217 – ما هو الوحى ؟ ,     هُوَ كَلامُ الَّلهِ تَعَالى ، المُنَزَّلُ على نَبِيٍّ مِنْ أَنبيائـِهِ ، 
218– ما هى السور المكية ؟ ,     ما نَزَلَ مِنَ القُرآنِ في مَكَّةَ قَبْلَ الهِجْرَةِ ، وَمُدَّتُهُ حَوَالي 
219– ما هى السور المدنية ؟ ,     مَا نَزَلَ مِنَ القُرآنِ بعدَ الهِجْرةِ إلى المَدِينَةِ طُوالَ نَحْوِ 
220– هل تعلم الإعجاز في لفظ الجلالة ( الـلـه ) ؟ ,"     مكونات حروفه دون الأسماء جميعها يأتي ذكرها من خالص الجوف , لا من الشفتين "
221- ماهى أسماء القران الكريم ؟ ,     أسماء القران الكريم هي: القرآن، المصحف، الفرقان، الكتاب، الذكر
222- ما عدد سور القرآن الكريم ؟ ,     عدد سور القرآن الكريم هي 114 سورة
223- ماعدد آيات القران الكريم ؟ ,     عدد الآيات 6236 وهذا العدد يتكون من الآيات كلها بما فيها البسملة لأن 
224- هل عدد البسملات في القرآن يطابق عدد السور؟ ,     عدد البسملات في القرآن 113 في بداية كل سورة ما عدا سورة براءة، ويكتمل عدد 
225- ماهى السورة التى لا تبدأ ببسم الله الرحمن الرحيم؟ ,     سورة التوبة لا تبدأ ببسم الله الرحمن الرحيم
226ـ من هو الذي دعا له الرسول صلى الله عليه وسلم قائلاً : اللهم فقه في ,     الدين وعلمه التأويل ؟ 
227- ماهى السور التي يطلق عليها الطواسين؟ ,     ثلاث سور وهي: سورة الشعراء، وسورة النمل، وسورة القصص. وأطلق هذا الإسم 
228- ما أسماء فاتحة الكتاب؟ ,"     سورة الفاتحة تسمى بـ:""أم الكتاب"" و ""وأم القرآن"" و""السبع المثاني."""
229- ما أطول سورة في القرآن الكريم؟ ,     أطول سورة في القرآن الكريم هي سورة البقرة
230- ما أقصر سورة في القرآن الكريم؟ ,     أقصر سورة في القرآن الكريم هي سورة الكوثر
231- ما أقسام السور؟ ,     أقسام السور هي: السبع الطوال، المئون، المثاني، المفصل
232- ماهى الآيات التى يجب عليك السجود عند قراءتك أو سماعك لها؟ ,     آية 15 من سورة السجدة وآية 37 من سورة فصلت وآية 62 من سورة النجم وآية19من 
234- ماهى السورة التى لو قرأتها ثلاث مرات تعدل ختم القرآن؟ ,     قراءة سورة الإخلاص (قل هو الله أحد...)
235- كيف تأمن ضغطة القبر؟ ,     من قرأ سورة النساء في كل جمعة أمن ضغطة القبر
236- من هن أمهات الرسول؟ ,"     آمنة بنت وهب: "" أمه ولادة ""- حليمة السعدية : "" أمه رضاعة ""- بَرَكة ثعلبة "
237- من هم أشهر شيوخ المفسرين للقرآن من الصحابة؟ ,     المدينة: أبي بن كعب. مكة : عبد الله بن عبّاس. العراق : عبد الله بن مسعود.
238- ما الفرق بين المكي والمدني في القرآن الكريم؟ ,     المكّي ما نزل قبل الهجرة والمدني ما نزل بعدها.
239- ماعدد بنات النبي صلى الله عليه وسلّم وأسمائهم؟ ,     بنات النبي صلى الله عليه وسلّم أربعة وهم: زينب ورقية وأم كلثوم وفاطمة
240- ماهىالسورة قال عنها النبي: لهي أحب إليّ مما طلعت عليه شمس؟ ,     سورة الفتح .
241- من هم القرّاء السبع ؟ ,     نافع المدني وابن كثير وأبو عمرو بن العلاء وابن عامر الدمشقي وعاصم بن أبي 
242- ما هىأنواع القراءات في القرآن؟ ,     المتواتر والأحاد والموضوع والشاذ والمشهور والمدرج
243- مامعنى لفظ الفتنة في القرآن الكريم؟ ,     جاء لفظ الفتنة في القرآن الكريم بمعان مختلفة وهذه بعضها: الشرك - التعذيب 
244- ماهى أشهر الحج؟ ,     الحج أشهر معلومات وهي: شوال وذو القعدة وعشر من ذي الحجة.
245- ماالفرق بين النبي والرسول؟ ,     الرسول من أوحى إليه بشرع جديد والنبي المبعوث لتقرير شرع من قبله.
246- ماهى الآيات التسع التي أرسل بها موسى إلى فرعون؟ ,     العصا واليد والسنين ونقص الثمرات والطوفان والجراد والقمل والضفادع والدم.
247- من هو شاعر الرسول صلى الله عليه وسلم؟ ,     حسان بن ثابت.
248- من هوخطيب الرسول صلى الله عليه وسلم: ,     ثابت بن قيس رضي الله عنه.
249- من الذى لقّبه الرسول صلى الله عليه وسلم بالشهيد الحي؟ ,     طلحة بن عبيد الله رضي الله عنه.
250- ما هى السورة التى خاصمت عن صاحبها حتى غفر له؟ ,     تبارك.
251- من أول من يدخل الجنة؟ ,     أول من يدخلها سيدنا رسول الله صلى الله عليه وسلم بعد أن يشفع للمؤمنين 
252ـ ما أعلى درجات الجنة؟ ,     أعلاها الفردوس الأعلى وهو تحت عرش الرحمن جل وعلا
253- ماهى أنهار الجنة الأربعة الرئيسية؟ ,     أنهار الجنة الأربعة الرئيسية ( نهر اللبن - نهر العسل - نهر الخمر - نهر 
254- ماهو أعلى مقام في الفردوس الأعلى؟ ,     أعلى مقام في الفردوس الأعلى هو مقام الوسيلة وهو مقام سيدنا رسول الله صلى 
255- ما أسماء أشجار الجنة؟ ,     شجرة طوبى وسدرة المنتهى وجميعها سيقانها من الذهب وأوراقها من الزمرد الأخضر 
256- من هن أزواج الرسول اللاتى ماتوا في حياته؟ ,     ست توفاهنَّ الله قبله وهنَّ:خديجة بنت خويلد رضي الله عنها- زينب بنت خزيمة 
257- من هن أزواج الرسول اللاتى مات عنهن؟ ,     عائشة بنت الصِدَّيق - سودة بنت زُمعة- حفصة بنت عمر بن الخطاب - أم حبيبة 
258- على ماذا قاتل الرسول صلى الله عليه وسلم النااس وعلى ماذا قاتل علي ,     الناس ؟ 
259- ماذا قال الوليد بن المغيرة في جمال لغة القرآن؟ ,"     من جمال لغة القرآن قال فيه ألد أعدائه ـ الوليد بن المغيرة ـ ""والله إن "
260- لماذا اخفى الله موعد الموت؟ ,     حتى يتوقعه الإنسان في أية لحظة فكلما اغترتذكر انه قد يفارق الدنيا بعد ساعة 
261- هل للنبى محمد صلي الله عليه وسلم إخوة اشقاء؟ ,     ليس له إخوة اشقاء.
262ـ من هم اخوان الرسول من الرضاعة؟ ,     عبد الله بن عبد الأسد المخزومي وحمزة بن عبد المطلب و عبد الله بن الحارث و 
263- ما هى الغزوات التي قادها صلي الله عليه وسلم؟ ,     غزوة ودان ( الأبواء)-غزوة بواط -غزوة بدر الأولي -غزوة بدر الكبرى- غزوة 
264- كم عدد العمر التي اعتمرها الرسول عليه الصلاة والسلام؟ ,     اربعة - عمرهى عمرة الحديبية ذو القعدة 6هـ - عمرة القضية ذو القعدة 7هـ - 
265- كم عدد أبواب الجنة وأسماؤها؟ ,     أبواب الجنة ثمانيه قيل أن أسماؤها : باب محمد صلى الله عليه وسلم وهو باب 
266- ماذا تعرف عن نهر الكوثر ؟ ,     هو نهر أعطى لرسول الله صلى الله عليه وسلم في الجنة ويشرب منه المسلمون في 
267- ماذا تعرف عن نهر البيدخ ؟ ,     هو نهر يغمس فيه الشهداء فيخرجون منه كالقمر ليلة البدر وقد ذهب عنهم ما 
268- ماذا تعرف عن نهر بارق ؟ ,     هو نهر على باب الجنه يجلس عنده الشهداء فيأتيهم رزقهم من الجنة بكرة وعشيا.
269- ماذا تعرف عن عين تسنيم ؟ ,     هى أشرف شراب أهل الجنة وهو من الرحيق المختوم ويشربه المقربون صرفا ويمزج 
270- ماذا تعرف عن عين سلسبيل ؟ ,     هى شراب أهل اليمين ويمزج لهم بالزنجبيل
