,Question
39,السورة التي ابتدأت بالحرفين المقطعين (طس)؟
40,ما هي السورة التي تسمى سورة التوديع؟
41,الشهر الثامن في التقويم الهجري؟
42,كم عدد السور التي افتتحت بثلاثة أحرف؟
43,كم عدد آيات سورة البقرة؟
44,من أسماء الخيل التي ذكرت في القرآن الكريم؟
45,كم عدد القراءات الصحيحة للقرآن الكريم؟
46,كم مرة اعتمر النبي صلى الله عليه وسلم؟
47,ما اسم أخو يوسف عليه السلام من أمه وأبيه؟
48,قام أحدهم بمبادلة صاع من القمح الجيد بصاعين من القمح الرديء لشخص آخر ما حكم هذه المبادلة؟
49,في أي عام هجري وقعت غزوة خيبر؟
50,كم عدد الأنبياء الذين ذكروا في سورة الأنبياء؟
51,ما هو الاسم الذي يطلق على الزيادة في الدين نظير الأجل أو الزيادة فيه؟
52,ما هي السورة التي لا تبدأ بالبسملة؟
53,من أول من ألف في أحكام القرآن؟
54,في أي سورة ذكرت قصة قابيل وهابيل؟
55,ما اسم الزوجة الثالثة بالترتيب التي تزوجها النبي صلى الله عليه وسلم؟
56,من من الخلفاء الراشدين كان الأكبر سنا عندما لقي ربه؟
57,من أول من لقب بأمير المؤمنين؟
58,يجب اخراج الزكاة من الذهب اذا كان يبلغ النصاب الشرعي وهو؟
59,ماذا لقب ابراهيم عليه السلام؟
60,أين وردت الآية الكريمة ( أقم الصلاة لدلوك الشمس إلى غسق الليل وقرآن الفجر إن قرآن الفجر كان مشهودا)؟
61,من هو الصحابي الذي كان جبريل يأتي على هيئته؟
62,من هو الصحابي الملقب بأبي تراب؟
63,أول زوجات النبي صلى الله عليه وسلم لحوقا به بعد وفاته؟
64,كم كان عمر الرسول صلى الله عليه وسلم عندما بعث نبيا ورسولا للإسلام؟
65,ما هي السورة التي وردت فيها غزوة أحد وغزوة بدر؟
66,ما هو العام الهجري الذي احتفل فيه المسلمين بعيد الفطر وعيد الأضحى المبارك؟
67,ما هو أول الأيام التي خلقها الله تعالى؟
68,ما هي السورة الوحيدة في القرآن الكريم التي لا تحتوي على حرف الميم؟
69,من هي آسيا؟
70,ما هي أول صلاة صلاها الرسول صلى الله عليه وسلم؟
71,كم مرة ذكر اسم الرسول محمد صلى الله عليه وسلم في القرآن؟
72,من هو النبي الذي آمن به جميع قومه؟
73,من هو أول صحابي حيّا الرسول صلى الله عليه وسلم بتحية الإسلام؟
74,قال تعالى: (وزرابي مبثوثة) سورة الغاشية (16)، المقصود بـ(زرابي)؟
75,أقسم الله عزوجل بالتين والزيتون كناية عن الأرض التي تزرع فيها ومهبط الرسالات السماوية وهي أرض؟
76,بدأت سورة الشعراء بعد البسملة بثلاثة حروف هي؟
77,اذا ضرب المسلم أخاه المسلم ونتج عن ذلك فقدانه للنطق فمقدار الدية التي يجب عليه دفعها في الشريعة الإسلامية هي؟
78,من قائد المسلمين في معركة القادسية؟
79,الغزوة التي تسمى غزوة أوطاس أيضا هي غزوة؟
80,ما أكثر سورة تكرر فيها اسم الرحمن؟
81,قرية أخبر الرسول صلى الله عليه وسلم أنها (آخر قرية من قرى الإسلام خرابا) فما هي؟
82,من هي ثاني إمرأة دخلت الإسلام؟
83,صحابي قال له النبي صلى الله عليه وسلم (أن الله مقمصمك قميصا فإن أرادك المنافقون على خلعه فلا تخلعه) فمن هو؟
84,كم ورد لفظ (لؤلؤ واللؤلؤ) في القرآن الكريم؟
85,اذا ضرب المسلم أخيه المسلم ونتج عن ذلك فقدان للبصر لأحدى عينيه فيجب عليه أن يسلم له؟
86,الدعاء (بسم الله والصلاة والسلام على رسول الله وعلى آله، اللهم اغفر ذنوبي وافتح لي أبواب رحمتك) يستحب للمسلم أن يدعو به عند؟
87,كم مرة وردت كلمة (تلاوة) في القرآن الكريم؟
88,صحابي قال له الرسول صلى الله عليه وسلم: ( تمشي وحدك وتموت وحدك وتبعث وحدك) فمن هو؟
89,قال تعالى: (ننزل الملائكة والروح فيها بإذن ربهم) سورة القدر(4) المقصود بـ(الروح) هو؟
90,من الذي عقد مع رسول الله صلى الله عليه وسلم صلح الحديبية عن قريش؟
91,كم كان عمر النبي صلى الله عليه وسلم حين وفاة زوجته خديجة بنت خويلد رضى الله عنها؟
92,ما آخر سورة نزلت في مكة؟
93,كم ورد لفظ (الصمد) في القرآن الكريم؟
94,في عهد من من خلفاء المسلمين وقعت معركة اليرموك؟
95,متى توفيت أم المؤمنين زينب بنت جحش رضى الله عنها؟
96,ما هو الشئ الذي كان النبي صلى الله عليه وسلم لا يرده؟
97,كم وردت كلمة (أف) في القرآن الكريم ؟
98,القائد المسلم الذي فتح مدينة تدمر الأثرية هو؟
99,في أي عام فرضت زكاة الفطر؟
100,قال تعالى: (ولا طعام إلا من غسلين) سورة الحاقة (36)، ما المقصود بـ(غسلين)؟
101,من هو أول شهيد في غزوة أحد؟
102,كم ورد لفظ (الكعبة) في القرآن الكريم؟
103,من الذي دخل النبي صلى الله عليه وسلم في جواره حين عاد من الطائف؟
104,كم ورد لفظ (الكهف) في القرآن الكريم؟
105,كم عدد خلفاء الدولة العباسية؟
106,من الصحابي الذي وطأ الجنة بعرجته؟
107,ما هو الإسم الأخر التي تسمى به سورة الزمر؟
108,من أول من ركب الخيل؟
109,ما هي أصغر سورة في القرآن الكريم؟
110,من أول من سعى بين الصفا والمروة؟
111,كم عدد مفاتيح الغيب التي لا يعلم بها الا الله سبحانه وتعالى؟
112,من أول من توفت من بنات الرسول صلى الله عليه وسلم؟
113,من هي زوجة الخليفتين وصاحبة الهجرتين ومصلية القبلتين وزوجة الشهيدين؟
114,مرشد الرسول صلى الله عليه وسلم وأبو بكر رضى الله عنه أثناء الهجرة هو؟
115,من هو سيف الله المسلول؟
116,من هو الصحابي الذي ورد اسمه صريحا في القرآن الكريم؟
117,سورة تحدثت عن غزوة حنين؟
118,ما هو اسم السورة التي تحدثت عن العقاب الذي ينتظر أبو لهب؟
119,على من أنزل الزبور؟
120,كم عدد الكتب السماوية التي أنزلها الله تعالى؟
121,ما هو الركن الثاني من أركان الإسلام؟
122,ما اسم النبي الذي تمنى أن يموت؟
123,ما هو الحيوان الذي ارتبط اسمه بسيدنا صالح عليه السلام؟
124,ما اسم السورة التي تحدثت عن غزوة أحد؟
125,من هو أول رسول من الله يسمى بالأحمد؟
126,كم مرة ذُكر اسم الرسول محمد صلى الله عليه وسلم في القرآن؟
127,من هو الملقب بـ أسد الله الغالب؟
128,من هو أول مولود في الإسلام؟
129,من هو قائد المسلمين في معكرة القادسية؟
130,كيف أهلك الله قوم لوط؟
131,ما هي عدد المرات التي ورد فيها ذكر النار في المصحف الشريف؟
132,ماهي السورة التي تسمي القتال؟
133,ما هي السورة القرآنية التي يبكي فيها الشيطان عند سماعها؟
134,من أول من أسلم من الرجال؟
135,متى فتحت مكة المكرمة؟
136,ما هو الركن الثاني من أركان الاسلام؟
137,أفضل طعام أشار له القرآن الكريم؟
138,من هم أكثر الأقوام عنادا مع أنبيائهم؟
139,في أي سورة ذكر شهر رمضان في القرآن؟
140,من هو الذي كانت تستحي منه ملائكة السماء؟
141,ما هو الحج الأصغر؟
142,ما اسم الصحابي الجليل الذي نزل الرسول صلى الله عليه وسلم ضيفا في بيته؟
143,ما هي أول صلاة فرضت على الرسول محمد صلى الله عليه وسلم؟
144,قال تعالى: (ماودعك ربك وما قلى) سورة الضحى، ما المقصود بـ (ما قلى)؟
145,من هو النبي الذي كان ابنه كافرا؟
146,كم عدد الصلوات المفروضة في اليوم والليلة؟
147,إلى أين كانت هجرة الرسول صلى الله عليه وسلم؟
148,كم عدد سور القران الكريم؟
149,من هو النبي الذي ولد دون أب؟
150,ما هي السورة سميت بقلب القرآن؟
151,هل يجوز شرب الماء في الصوم؟
152,ما هو اتجاه المسلمين في أداء الصلاة؟
153,متى يصوم المسلمون شهرا؟
154,كم عدد أجزاء القرآن؟
155,كم عدد الأنبياء الذين ورد ذكرهم في القرآن الكريم؟
156,من أول من قال الشعر؟
157,ما الاسم الذي اطلق على الذين آمنوا بعيسى عليه السلام؟
158,في أي سنة هجرية توفي الرسول صلى الله عليه وسلم؟
159,من هو أكثر الصحابة رواية للحديث؟
160,كم دامت خلافة أبو بكر الصديق رضي الله عنه؟
161,ما هي الهيجاء؟
162,من هو النبي الذي صام عن الكلام ثلاثة أيام؟
163,أول جبل وضع في الأرض هو؟
164,من هو البخاري؟
165,ما أقصر سورة في القرآن الكريم؟
166,قال الرسول صلى الله عليه وسلام: (لا يدخل الجنة قتات)، فمن هو القتات؟
167,على لسان من ورد قوله تعالى: (ليتني مت قبل هذا وكنت نسيا منسيا)؟
168,ما هي عدة الأرملة غير الحامل؟
169,ما هي السورة التي استمع لها الجن وقالوا سمعنا قرآنا عجبا؟
170,ما هي أهمية الزكاة في الإسلام؟
171,قال تعالى في سورة البروج: (والسماء ذات البروج(1) واليوم الموعود) ما هو اليوم الموعود؟
172,من الصحابة العشر المبشرين بالجنة؟
173,ما السورة التي ذكرت فيها قصة هابيل وقابيل؟
174,من هو أول نبي تكلم اللغة العربية؟
175,ما هو لقب حمزة بن عبدالمطلب؟
176,من هي آخر زوجة تزوجها الرسول صلى الله عليه وسلم؟
177,كم مرة حج الرسول صلى الله عليه وسلم؟
178,"في أي سورة ورد اسم يوم القيامة ""الطامة""؟"
179,ما هو الشيء الذي ورد في القرآن أنه يتنفس ولا روح له؟
180,ماذا كان اسم ناقة الرسول صلى الله عليه وسلم؟
181,ما هي الغزوة التي تمّ فيها أسر الشيماء شقيقة الرسول -صلى الله عليه وسلم- في الرضاعة؟
182,من هو المولود الأول في الإسلام؟
183,ما المهنة التي عمل بها الرسول صلى الله عليه وسلم؟
184,من هو أول نبي نزل إلى الأرض؟
185,ما هو دعاء سيدنا يونس عليه السلام وهو في بطن الحوت؟
186,ما هي السورة التي تعرف بقلب القرآن؟
187,من النبي الذي كان يسمى بشرى؟
188,في أي سنة هجرية شرع الله -سبحانه وتعالى- صيام شهر رمضان على المسلمين؟
189,من هو الصحابي الذي اهتز عرش الرحمن لموته؟
190,ما اسم زوجة فرعون؟
191,لمن أرسل النبي هود؟
192,ما هو أكبر رقم في القرآن الكريم؟
193,في أي يوم خُلق سيدنا آدم عليه السلام؟
194,كم عدد السجدات في القرآن الكريم؟
195,ما هي المدة التي نام فيها أهل الكهف؟
196,ماذا يقصد بالشرك الأصغر؟
197,من هو النبي الذي لقب بالصديق؟
198,كم عدد الأشهر الحرم؟
199,من هو النبي الذي كانت تسبح معه الملائكة؟
200,ماهي الآيات العشر التي تعصم من قرأها من المسيح الدجال؟
201,ما اسم ناقة الرسول صلى الله عليه وسلم؟
202,ماهي السورة التي تبدأ بالحرف المتقطع (ن)؟
203,من أسماء ملائكة العذاب التي ذكرت في سورة العلق؟
204,كم عدد السور التي ابتدأت بالحروف المقطعة (الر)؟
205,ماهي السورة التي لا يوجد بها بسملة؟
206,ما هي أرض مهد الأديان السماوية التي أقسم الله عليها؟
207,كم بوابة للجنة؟
208,قوم أي من الأنبياء كانوا يعبدون الأيكة؟
209,الملك الموكل بالنفخ في البوق هو؟
210,في أي سنة كانت غزوة الخندق؟
211,كم عدد الأنبياء الذين ذكروا في القرآن الكريم؟
212,من هو مؤلف كتاب الطب النبوي؟
213,في أي غزوة استشهد الصحابي عبدالله بن رواحة؟
214,من الصحابي الذي اشترى بئر رومة في المدينة من اليهودي ووهبه للمسلمين؟
215,أي عم للرسول صلى الله عليه وسلم مات شهيدا؟
216,ماهي السورة التي ذكر فيه اسم مسجدين؟
217,السورة التي بدأت بلفظ (سورة)؟
218,قال تعالى في سورة الواقعة الآية (28): (في سدر مخضود)، مامعنى مخضود؟
219,من هي آخر من توفى من زوجات الرسول صلى الله عليه وسلم؟
220,بماذا كان يكنى الرسول صلى الله عليه وسلم؟
221,ما أول سورة نزلت في مكة؟
222,من هو النبي الذي لقب بذي النون؟
223,كم سورة من سور القرآن الكريم بدأت بحروف مقطعة؟
224,كم عدد الملائكة الذين قاتلوا مع الرسول صلى الله عليه وسلم والمسلمين في بدر؟
225,من هو الذي خسف الله به الأرض؟
226,من أول من أكرم الضيف وأضافه؟
227,كم سورة من سور القرآن تبدأ بالاستفهام؟
228,من هو أول من بايع أبا بكر الصديق رضي الله عنه من الأنصار يوم السقيفة؟
229,ما هي كنية سعد بن أبي وقاص؟
230,كم عدد بنات الرسول صلى الله عليه وسلم؟
231,ما هي السورة الخالية من البسملة؟
232,كم مرة يدفع المسلمون الزكاة؟
233,من هو آخر الأنبياء وخاتمهم؟
234,متى فُرِض الصيام على المسلمين؟
235,ما هي أطول سورة في القرآن؟
236,كم عدد السور المدنية في القرآن الكريم؟
237,ما هي معجزة سيدنا صالح عليه السلام؟
238,ما هي مهنة سيّدنا محمد ﷺ قبل بعثته؟
239,كم عدد الأشهر الحُرُم؟
240,من هو أوَّل من أسلم من الرِّجال في الإسلام؟
241,بماذا لقب سيدنا لُقمان؟
242,من أول من نادى بالحج إلى بيت الله الحرام؟
243,كم كان عمر الرسول عندما نزل عليه الوحي؟
244,ما هي آخر غزوة شارك فيها الرسول صلى الله عليه وسلم؟
245,ما هي السورة التي ذكر ضمن اياتها بسم الله الرحمن الرحيم؟
246,من هي الصحابية الجليلة الملقبة بذات النطاقين؟
247,ما هي زوجة أحد الرسل التي تسمى “والهة”؟
248,أين يوجد البيت المعمور؟
249,ما الصلاة التي يركع المصلي ويسجد فيها أربع مرات؟
250,من هو الصحابي الجليل الذي اهتز عرش رب العالمين عند وفاته؟
251,ما أول عملة شاع استخدامها في الدولة الإسلامية؟
252,ماهي السورة التي كانت السبب في إسلام سيدنا عمر بن الخطاب – رضي الله عنه – ؟
253,ما هو الدعاء الذي وصى به الرسول صلى الله عليه وسلم في ليلة القدر؟
254,من هو الصحابي الذي كانت تستحي منه الملائكة؟
255,كم عدد السور القرآنية التي بدأت بثلاث حروف؟
256,ما هي السورة التي يُطلق عليها ” جميع بنات حواء”؟
257,من هو آخر صحابي توفي من الصحابة؟
258,من هو أول صحابي حيا الرسول صلى الله عليه وسلم بتحية الإسلام؟
259,من هو أول من ركب الخيل؟
260,كم سورة من سور القرآن الكريم تبدأ بالإستفهام؟
261,بماذا تسمى سورة الكهف؟
262,ما حكم قراءة القرآن بأحكام التجويد؟
263,ما السورة التي عرفت باسم سورة العبادة؟
264,كم مرة ذكرت الشمس في القرآن الكريم؟
265,ماهو أول رقم ذكر في القران الكريم؟
266,متى شرع الآذان؟
267,ما أول سورة قرأها عمر بن الخطاب رضي الله عنه؟
268,ما الحيوان البحري الذي ذكر في سورة الصافات؟
269,كم نبي ذكر في سورة الأنبياء؟
270,( المصدود ) لفظ يطلق على؟
271,في أي عام حدثت غزوة الخندق الشهيرة؟
272,من أول من لحق بالنبي محمد – صلى الله عليه وسلم – عقب وفاته من ذويه؟
273,نبي من انبياء الله – عز وجل – ، كان يطلق عليه ( بشرى ) فمن هو؟
274,ماذا كانت عائشة رضي الله عنها بالنسبة إلى الرسول محمد صلى الله عليه وسلم؟
275,من هو أول من قام بتصنيف تفسير خاص بالقرآن العظيم بواسطة الإسناد؟
276,أي أداة من الأدوات الآتية قام قابيل بقتل أخيه هابيل بواسطتها؟
277,كم مرة تم ذكر لفظ ( الجنة ) في آيات القرآن الكريم؟
278,من الفاتح الإسلامي الذي لقب بـ: ( فاتح الصين )؟
279,أين عاش زكريا عليه السلام؟
280,من صاحب هذا الدعاء: (رب اشرح لي صدري (25) ويسر لي أمري)، (طه، 25و26)؟
281,هل تجب صلاة الجمعة على المسافر؟
282,ما نصيب الزوجة إن مات زوجها ولم يكن لها ولد؟
283,كم أخا كان ليوسف عليه السلام؟
284,ما أول سورة في المصحف ذكر فيها نبي الله صالح؟
285,من أول نبي ذكرت قصته في القرآن الكريم؟
286,من هو قائد أول غزوة بعد موت الرسول صلى الله عليه وسلم؟
287,في أي سورة وردت قصة قارون؟
288,"كم مرة تكررت الآية: ""فبأي آلاء ربكما تكذبان""؟"
289,من الصحابي الذي دافع عن النبي صلى الله عليه وسلم في معركة أحد حتى شلت يمينه؟
290,ما هي السورة التي كانت سببا في إسلام عمر بن الخطاب رضي الله عنه؟
291,ماذا تعني النفاثات في العقد؟
292,من هو ترجمان القرآن وحبر الأمة؟
293,"ما هي السورة التي تنتهي بقوله تعالى: ""واعبد ربك حتى يأتيك اليقين""؟"
294,ما هي السورة التي تقع بين سورتي يوسف وابراهيم؟
295,أين يوجد جامع الزيتون؟
296,من هو جندب من جنادة؟
297,في أي من السور التالية تقع أقصر آية؟
298,من هو الصحابي الملقب بسيد الفوارس؟
299,ما اسم أول غزوة للمسلمين ضد اليهود؟
300,ما الإسم الذي يطلق على الذين آمنوا بعيسى عليه السلام؟
301,ما هو مقدار زكاة الثمار والزرع في حالة الري دون كلفة؟
302,ما هي السورة التي تبدأ ب (المر)؟
303,ما هي عدة المرأة الغير حامل؟
304,من أي أبواب الجنة يدخل الصائمون يوم القيامة؟
305,ما هي السورة التي عدد آياتها 206؟
306,كم عدد السور التي تبدأ ب(حم)؟
307,من هن الأيامى؟
308,من هو أول من حصل على لقب سيد الشهداء؟
309,من هو الصحابي الذي أجهز على أبي جهل يوم بدر؟
310,ما هي السورة التي ورد لفظ الجلالة (الله) في كل آية من آياتها؟
311,ما هي السورة التي تسمى براءة؟
312,ما هي الصلاة التي يركع فيها المصلي أربع ركعات ويسجد أربع مرات؟
313,ما الاسم الذي يطلق على الذين آمنوا بعيسى عليه السلام؟
314,ما هي السورة التي تبدأ ب(المر)؟
315,كم عدد السور التي بدأت ب(الحمدلله)؟
316,ما هي السورة التي يطلق عليها قلب القرآن؟
317,ما هي السورة التي يوجد بها بسملتين؟
318,ما السورة التي ابتدأت باسم ثمرتين؟
319,ما هو عدد حملة العرش في القرآن الكريم؟
320,في أي سورة ذكرت قصة هابيل وقابيل؟
321,لمن أرسل النبي صالح؟
322,كم عدد السور في القرآن الكريم؟
323,ما هي السورة التي وردت فيها سجدتين في القرآن الكريم؟
324,من الذي عدلت شهادته شهادة الرجلين؟
325,ما هي السورة التي تعدل ربع القرآن؟
326,من هو الملقب بذي النورين؟
327,كم عدة المرأة المطلقة؟
328,ما اسم خازن الجنة؟
329,متى كانت غزوة بدر الأولى؟
330,من هو الصحابي الذي لقب بأمين هذه الأمة؟
331,من هو الصحابي الذي سماه الرسول صلى الله عليه وسلم بغسيل الملائكة؟
332,من هو الصحابي الجليل الملقب بأبو المساكين؟
333,ما هي السورة التي يطلق عليها عروس القرآن؟
334,من هو حواري الرسول صلى الله عليه وسلم؟
335,من قاتل عمر بن الخطاب؟
336,من هو الصحابي الذي لقب بشبيه الملائكة؟
337,ما هي السورة التي لا تحتوي على حرف الميم؟
338,من آخر نساء النبي صلى الله عليه وسلم موتا؟
339,"من هي المقصودة بقوله تعالى: ""قد سمع الله قول التي تجادلك في زوجها""؟"
340,من هو الصحابي الذي سيبعث وحيدا؟
341,كم عدد السور التي أسمها على أسماء الأنبياء؟
342,ما اسم طعام المأتم الذي يقدم عند الوفاة؟
343,في أي سورة ورد اسم القيامة (الصاخة)؟
344,من هو ترجمان القرآن؟
345,من هو أول فدائي في الإسلام؟
346,أول من أسلم من الصحابة من الرجال؟
347,من هو جندب بن جنادة؟
348,من هو الصحابي الملقب بداهية العرب؟
349,من هو الذي كانت تستحي منه الملائكة؟
350,من هو أمين الرسول صلى الله عليه وسلم؟
351,أين رست سفينة نوح بعد الطوفان؟
352,الشهر الخامس في التقويم الهجري؟
353,من هو الصحابي الذي افتداه الرسول صلى الله عليه وسلم بأبيه وأمه؟
354,ما اسم الفتى الذي كان يصاحب موسى عليه السلام في رحلته مع الخضر؟
355,ما هي المعركة التي كانت سببا في تعجيل المسلمين بجمع القرآن؟
356,من هو الصحابي الذي أوتي مزمارا من مزامير داوود عليه السلام؟
357,في أي غزوة استشهد الصحابي جعفر بن أبي طالب؟
358,أول من أنشأ جهاز شرطة في الإسلام؟
359,من القوم الذين أهلكهم الله بالطاغية؟
360,أين ورد قوله تعالى (واتقوا يوما ترجعون فيه إلى الله ثم توفى كل نفس ما كسبت وهم لا يظلمون)؟
361,قال رسول الله صلى الله عليه وسلم: (من صلى البردين دخل الجنة) ما هما البردين؟
362,ما أول معركة وقعت بين المسلمين والروم؟
363,من هو قائد المسلمين في معركة عين جالوت؟
364,قال تعالى في سورة الغاشية ((14) و نمارق مصفوفة) ما المقصود بالنمارق؟
365,ذكر الله تعالى في سورة المدثر كلمة (سقر) فماذا تعني؟
366,كم مرة ذكر سيدنا موسى عليه السلام في القرآن الكريم؟
367,من قائل هذا الدعاء (رب بما أنعمت علي فلن أكون ظهيرا للمجرمين)؟
368,من السبع الموبقات؟
369,في أي سورة وردت هذه الآية الكريمة (ويسألونك عن الجبال فقل ينسفها ربي نسفا* فيذرها قاعا صفصفا)؟
370,من هو النبي الذي دعى ربه أن يهبه غلاما زكيا؟
371,قال تعالى في سورة ص (وشددنا ملكه وآتيناه الحكمة وفصل الخطاب(20)) من المقصود بالآية الكريمة؟
372,احدى هذه السور تبدأ بالحروف المقطعة (الم)؟
373,في أي سورة وردت قصة طالوت؟
374,من هو النبي الذي أمره الله بأن يأخذ الكتاب بقوة؟
375,قال تعالى في سورة هود (وأخذت الذين ظلموا فأصبحوا في ديارهم جاثمين) من هم القوم الذين أهلكهم الله في هذه الآية؟
376,قال تعالى (كذبت قبلهم قوم نوح فكذبوا عبدنا وقالوا مجنون وازدجر) في أي سورة وردت هذه الآية؟
377,قال تعالى في سورة الواقعة (في سدر مخضود) ما معنى مخضود؟
378,كيف أهلك قوم هود؟
379,متى وقعت غزوة الخندق؟
380,من هي النصرانية التي أسلمت ثم تزوجها الرسول صلى الله عليه وسلم؟
381,من أول من أمر بجمع القرآن الكريم؟
382,كم سنة دامت خلافة علي بن أبي طالب كرم الله وجهه؟
383,من هو النبي الذي علم منطق الطير؟
384,من هو النبي الذي قبضت روحه في السماء؟
385,احدى أمهات المؤمنين رضي الله عنهن تلقب بأم المساكين فمن هي؟
386,كم عدد أخوة النبي يوسف عليه السلام؟
387,إلى كم جزء ينقسم القرآن الكريم؟
388,"ما هي السورة التي تبدأ بقوله تعالى: ""يا أيها النبي اتق الله ولا تطع الكافرين والمنافقين إن الله كان عليما حكيما""؟"
389,ما هي أعظم سورة في القرآن الكريم؟
390,"ما هي السورة التي تنتهي بقوله تعالى ""واعبد ربك حتى يأتيك اليقين""؟"
391,ما هي السورة التي تعدل ثلث القرآن؟
392,كم عدد أيام الحج؟
393,ماذا يطلق على يوم النحر في القرآن الكريم؟
394,في أي يوم من أيام الحج يوم عرفة العظيم؟
395,هل الحج من أركان الإسلام؟
396,يعتبر الحج من أركان؟
397,ماهو حكم الحج في الإسلام؟
398,كم مرة يطوف الحاج حول الكعبة؟
399,في أي شهر يحج المسلمون؟
400,يجب على المسلم الوقوف في..؟
401,في أي عام ميلادي توفي النبي محمد صلى الله عليه وسلم؟
402,ما هو أضعف البيوت كما ذكر في القرآن الكريم؟
403,قال تعالى في سورة القلم: (فأصبحت كالصريم (20)) ما المقصود بالصريم؟
404,متى احتفل المسلمون بعيد الفطر؟
405,في أي يوم خلق آدم عليه السلام؟
406,من هي الملقبة بذات النطاقين؟
407,ما اسم الذبيحة التي تذبح عن المولود وهي سنة مؤكدة؟
408,قال تعالى: (والذاريات ذروا) ما المقصود بالذاريات؟
409,من هو خطيب الرسول صلى الله عليه وسلم؟
410,قال تعالى: (كأنهم حمر مستنفرة(50) فرت من قسورة) ما معنى قسورة؟
411,نوع من أنواع الربا يقوم على التفاضل في الجنس الواحد ماذا يسمى؟
412,من قائل هذا الدعاء: (رب بما أنعمت علي فلن أكون ظهيرا للمجرمين)؟
413,ما هي السورة التي ورد فيها ذكر الذباب؟
414,من آخر من توفى من الصحابة؟
415,من هو النبي الذي كفل مريم العذراء؟
416,ما هو اسم أبو جهل؟
417,ما هو أول مسجد في الإسلام؟
418,من هو الصحابي الملقب بترجمان القرآن؟
419,ما هي السورة التي تقع في نصف القرآن؟
420,من هي أم اسحاق عليه السلام؟
421,ما اسم الطعام الذي يقدم للإحتفال بالزواج؟
422,من معجزات الرسول محمد صلى الله عليه وسلم؟
423,ما هي السورة التي لا تحوي حرف الميم؟
424,من هو النبي الذي ارسل الى قوم ثمود؟
425,الصحراء الذي أقام فيها موسى مع قومه بعد أن أنجاهم الله من فرعون؟
426,من هم القوم الذي أرسل لهم الله الناقة؟
427,كم عدة المرأة المتوفي زوجها؟
428,ما اسم والدة النبي صلى الله عليه وسلم؟
429,كم كانت مدة الدعوة سرا؟
430,ما هي الصلاة التي يركع فيها المصلي أربع مرات ويسجد أربع مرات؟
431,في أي سورة وردت هذه الآية الكريمة (فقلت استغفروا ربكم إنه كان غفارا (10) يرسل السماء عليكم مدرارا (11))؟
432,اسم المعركة التي انتصر فيها جيش المسلمين على المغول؟
433,من هو النبي الذي سخر له الجبال تسبح معه؟
434,كم عدد المواضع التي اقسم الله بنفسه في القرآن الكريم؟
435,من هي مرضعة الرسول صلى الله عليه وسلم؟
436,من هو الصحابي الذي اشترى بئر رومة في المدينة من اليهودي ووهبه للمسلمين؟
437,كم عدد الغزوات التي قاتل فيها الرسول صلى الله عليه وسلم؟
438,من هو النبي الذي آتاه الله العلم والحكمة وسخر له الجبال والطير يسبحن معه؟
